Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region,Rank
Ireland,2018,6.962,11.332,0.938,72.3,0.861,0.144,0.362,0.811,0.213,Developed,Europe,Europe,16
Israel,2018,6.927,10.585,0.91,73.3,0.725,0.055,0.77,0.663,0.282,Developed,Asia,Europe,17
Malta,2018,6.91,10.67,0.932,72.2,0.927,0.179,0.595,0.721,0.296,Developed,Europe,Europe,18
Belgium,2018,6.892,10.844,0.93,72,0.808,-0.125,0.63,0.75,0.25,Developed,Europe,Europe,19
United States,2018,6.883,11.025,0.904,68.3,0.825,0.116,0.71,0.815,0.292,Developed,North America,North America,20
France,2018,6.666,10.727,0.921,73.8,0.816,-0.138,0.582,0.767,0.282,Developed,Europe,Europe,21
Guatemala,2018,6.627,9.042,0.841,64.8,0.91,-0.01,0.765,0.871,0.262,Developing,North America,South/Latin America,22
United Arab Emirates,2018,6.604,11.112,0.851,67.1,0.944,0.054,,0.787,0.302,Developed,Asia,Middle east,23
Mexico,2018,6.55,9.903,0.858,68.3,0.816,-0.179,0.809,0.882,0.213,Developing,North America,South/Latin America,24
Italy,2018,6.517,10.65,0.913,73.6,0.65,-0.021,0.888,0.649,0.403,Developed,Europe,Europe,25
Spain,2018,6.513,10.605,0.91,74.4,0.722,-0.075,0.777,0.659,0.357,Developed,Europe,Europe,26
Taiwan Province of China,2018,6.467,,0.896,,0.741,,0.736,0.848,0.093,Developed,Asia,Asia & Pacific,27
Chile,2018,6.436,10.097,0.89,69.9,0.789,-0.06,0.816,0.833,0.276,Developing,South America,South/Latin America,28
Kosovo,2018,6.392,9.296,0.822,,0.89,0.269,0.922,0.778,0.17,#N/A,Europe,Europe,29
Singapore,2018,6.375,11.49,0.903,76.8,0.916,-0.066,0.097,0.787,0.107,Developing,Asia,Asia & Pacific,30
Uruguay,2018,6.372,9.98,0.917,69,0.876,-0.097,0.683,0.877,0.275,Developing,South America,South/Latin America,31
Saudi Arabia,2018,6.356,10.771,0.868,66.3,0.855,-0.192,,0.764,0.288,Developing,Asia,Middle east,32
Lithuania,2018,6.309,10.474,0.929,67.3,0.699,-0.237,0.852,0.517,0.214,Developed,Europe,Europe,33
Panama,2018,6.281,10.343,0.904,69.6,0.861,-0.131,0.837,0.884,0.223,Developing,North America,South/Latin America,34
Cyprus,2018,6.276,10.567,0.826,73.7,0.794,-0.022,0.848,0.75,0.298,Developed,Europe,Europe,35
Slovenia,2018,6.249,10.546,0.941,71.1,0.942,-0.119,0.839,0.644,0.275,Developed,Europe,Europe,36
El Salvador,2018,6.241,9.061,0.82,66.1,0.863,-0.095,0.801,0.86,0.27,Developing,North America,South/Latin America,37
Slovakia,2018,6.235,10.376,0.922,68.9,0.758,-0.167,0.91,0.754,0.253,Developed,Europe,Europe,38
Uzbekistan,2018,6.205,8.818,0.921,65.1,0.97,0.318,0.52,0.825,0.209,Developing,Asia,Asia & Pacific,39
Brazil,2018,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,0.75,0.35,Developing,South America,South/Latin America,40
Romania,2018,6.151,10.26,0.818,67.2,0.845,-0.217,0.921,0.735,0.298,Developed,Europe,Europe,41
